id,latitude,longitude
1517,34.2483191527193,-118.3879713743439
1519,34.052542,-118.448504
1523,34.040539,-118.271387
1525,34.059133,-118.248589
1531,33.759802,-118.096665
1552,33.770508,-118.265628
1556,34.30309,-118.480505
1572,34.066801,-118.227605
1573,34.036777,-118.368841
1583,34.06872,-118.064
1589,34.039736,-118.236065
6355,32.89947,-117.243
6405,34.221665,-118.468371
6425,33.909914,-117.459053
6505,34.14762,-118.147111
6506,34.145138,-118.152655
6507,34.145119,-118.150133
6509,34.118433,-118.149597
7172,33.7637,-118.192
7184,33.94325,-118.403342
7192,34.241116,-118.556708
7194,34.07122,-117.575
7195,34.228315,-119.170865
7196,33.824004,-116.543589
7197,37.700187,-121.876172
7206,34.0189,-117.38
7212,38.69005,-121.58889
7229,34.017081,-118.44704
7230,34.010021,-118.49583
7233,34.156839,-118.434454
7242,34.138717,-118.35904
7245,34.211366,-118.448346
7250,33.94756,-118.153806
7280,37.80619,-122.4152
7286,38.599693,-121.427045
21351,37.784912,-122.430237
21358,37.78881,-122.401
21360,37.791791,-122.411265
21368,34.076264,-118.377527
21374,34.057657,-118.24789
21395,34.248959,-118.523887
21396,34.241687,-118.528543
21397,34.236853,-118.532588
21398,34.22947,-118.544934
21402,33.740758,-118.28192
21414,34.293717,-118.449219
21419,34.077588,-118.474585
21450,34.145528,-118.050548
21498,34.13556,-117.864
21524,33.9826,-118.3966
21525,34.029971,-118.385231
21535,33.777054,-117.870566
21559,34.16657601660278,-119.0458546627045
21561,33.919899,-117.898618
21565,34.192178,-118.934793
21566,34.418322,-119.3368
21569,34.105275,-117.809208
21594,34.147709,-118.136621
21606,34.267352,-119.2124
21607,34.268756,-119.2154
21608,34.268,-119.2492
21609,33.917593,-118.425334
21612,34.089085,-117.95463
21618,33.930663,-118.175758
21673,38.539336,-121.732405
21713,35.25939,-120.64492
21794,36.973393,-122.024849
25171,33.773005,-118.265821
25491,38.66292,-121.2634
25494,38.57277,-121.467902
25497,38.7042,-121.365
25500,38.615468,-121.517263
25501,38.552483,-121.4487
25502,38.524403,-121.5112
25507,38.73323,-120.78962
25511,38.356027,-121.9628
25514,38.36557,-121.967
25515,38.35172,-121.987
25516,38.356907,-122.001886
25517,38.355867,-121.9862
25518,38.351758,-121.994475
25519,38.682605,-121.297614
25520,38.457369,-121.842567
25522,38.72799,-120.828
25523,38.6476,-121.067
25525,38.40553,-121.391
25527,38.74453,-121.17
25610,38.618066,-121.334337
27036,44.469281,-73.154972
27302,38.15485,-121.69
27328,38.25281,-122.044229
27329,38.23723,-122.123
27335,38.105062,-122.265895
28007,33.944761,-118.399767
29862,38.35109,-121.993654
32850,38.578568,-121.491058
32973,44.469281,-73.154972
33177,34.059047,-118.256812
33178,34.033898,-118.256673
33179,34.081998,-118.21713
33180,33.799476,-118.257977
33182,34.208708,-118.444358
33183,34.241928,-118.390147
33351,47.044011,-122.822404
33378,45.508396,-122.664667
33544,39.15,-123.2091
33545,38.368755,-121.961192
33550,38.9412492,-121.1054805
33555,38.54643,-121.7388
33556,38.5443,-121.738
33557,38.544538,-121.749713
33558,38.55755,-121.6947
33559,38.569412,-121.721373
33564,33.84788,-118.13889
33690,37.94495,-122.5096
33695,37.7136,-122.2087
33717,47.443377,-122.296229
33921,40.119161,-88.244185
34106,43.608009,-116.197968
34829,29.427254,-98.490136
34849,44.99574,-123.019758
34859,45.508795,-122.8249
35146,38.2482,-122.0678
35149,37.77913,-122.418
35258,44.928439,-124.015824
35272,40.814019,-73.608978
35284,28.535975,-81.379663
35290,43.083979,-89.363091
35337,47.035421,-122.938962
35480,44.586123,-123.115389
35557,45.545898,-122.707102
35560,35.249929,-120.689683
35561,35.25982,-120.676
35562,42.702424,-73.857693
35563,42.969823,-73.773021
35620,47.673347,-117.388933
35621,47.654998,-117.425025
35840,41.615759,-93.57875
35841,41.682385,-93.698315
36343,32.236156,-110.781792
36363,39.155907,-76.717216
36368,40.286518,-74.807516
36371,44.009797,-123.033213
36378,29.756604,-95.372854
36532,42.97167,-73.774182
36610,34.44198,-119.829553
36619,41.892757,-87.626038
36709,34.950136,-81.93279
36710,34.951926,-81.931714
36711,34.715982,-81.624616
36923,41.157925,-73.240315
36924,41.305794,-72.927405
36925,41.305265,-72.934141
36928,41.355486,-72.093784
36931,41.119291,-73.369266
36932,41.951328,-72.663078
36949,42.592469,-87.915847
36951,43.091229,-89.52884
37056,34.042116,-80.939041
37097,41.503373,-81.639054
37104,38.417603,-82.456866
37150,28.560572,-81.441748
37151,28.556879,-81.377632
37154,28.429015,-81.458938
37161,28.528024,-81.44774
37162,28.512494,-81.351919
37166,38.694036,-90.4218
37170,45.522609,-122.988535
37171,45.520533,-122.978089
37181,47.614744,-122.193162
37651,45.509326,-122.666392
37655,40.74686,-111.876
37673,47.071917,-122.976675
37679,41.770428,-72.687141
37681,41.879631,-72.729919
37683,38.92591,-94.72819
37813,42.36262,-72.5395
37835,26.465314,-80.07219
38082,47.545324,-122.0195
38083,47.675897,-122.091237
38096,41.765253,-72.671569
38254,42.349249,-71.041557
38298,34.00741493349311,-81.03480060447691
38299,34.003323,-81.035693
38300,34.008409,-81.041802
38301,34.002255,-81.040219
38302,34.84709,-82.387269
38303,34.849724,-82.400667
38304,34.849889,-82.397797
38305,34.852754,-82.393113
38306,33.997786,-81.036161
38307,34.852789,-82.396195
38308,34.85335,-82.394826
38309,34.852437,-82.399901
38310,34.925782,-81.028444
38312,34.716556,-81.648482
38313,34.77993955183312,-81.4573590734024
38379,34.019875,-118.49151
38517,37.784871,-122.408991
38518,37.806798,-122.419488
38521,34.010528,-118.4898
38522,39.843886,-104.771138
38523,39.953798,-105.166116
38525,42.372442,-71.122882
38774,41.492057,-87.522819
38778,42.962078,-85.659019
38850,41.94629288,-87.69982
38851,41.75497055,-87.71321
38855,40.507796,-88.982897
38856,40.511172,-88.984985
38857,39.79628,-89.6504
38859,39.70909,-86.3894
38861,30.198704,-93.212318
38887,44.95121,-92.9952
38952,47.761878,-122.191915
38959,47.679224,-122.12995
38966,47.672359,-122.099034
38976,47.734211,-122.147041
38978,43.011411,-89.459112
39006,43.096636,-89.500008
39016,35.778416,-78.64347
39017,35.77435,-78.642287
39096,37.958953,-91.779289
39114,30.206145,-97.759109
39294,42.999265,-71.467911
39314,39.1458,-123.198497
39414,34.749177,-82.279741
39514,36.910575,-80.31736
39574,37.551409,-77.45233
39575,37.543387,-77.42953
39705,36.010279,-84.268049
39707,35.558371,-86.448276
39708,32.408909,-99.771463
39709,35.159354,-101.938937
39710,32.676458,-97.087169
39711,30.374542,-97.731445
39712,29.80725299717069,-94.97383364868773
39713,30.062535,-94.133511
39714,32.839339,-97.160994
39715,30.639201,-96.30671
39717,27.73082,-97.416019
39718,32.646784,-96.863492
39719,33.775328,-96.58308
39720,31.783928,-106.417267
39721,31.724024,-106.302211
39723,32.721585,-97.478539
39724,32.928183,-97.09448
39725,26.186259,-97.734663
39726,29.913418,-95.611942
39727,29.676558,-95.422537
39728,29.625565,-95.22531
39729,29.785494,-95.60022
39730,29.990205,-95.423096
39731,29.990275,-95.275606
39732,32.849437,-96.914294
39733,29.775354,-95.817237
39734,31.078549,-97.692745
39735,27.492086,-97.84753
39736,27.528418,-99.458211
39737,29.484543,-95.10255
39738,33.022937,-96.988337
39739,32.553772,-94.727241
39740,33.535048,-101.958266
39741,33.161606,-96.644662
39742,32.829838,-96.629967
39743,32.024113,-102.151567
39745,29.953433,-94.0071
39746,32.97135,-96.719803
39747,29.534537,-95.772812
39748,30.54205,-97.69265
39749,31.44646,-100.496244
39750,29.543147,-98.57544
39751,29.517253,-98.467365
39752,29.457047,-98.625324
39753,29.556508,-98.34469
39754,30.4963137,-97.6809454
39755,30.314894,-94.18396
39756,29.645808,-95.57612
39757,31.079653,-97.410328
39758,32.31165413012184,-95.34249985662234
39759,28.851423,-96.997881
39760,31.495348,-97.160226
39761,32.7561,-97.705239
39762,33.88049,-98.545953
39763,38.809675,-77.122192
39764,38.899751,-77.460168
39765,38.086121,-78.474663
39766,38.85358,-77.324803
39768,37.042363,-76.388316
39769,38.760854,-77.459274
39770,37.175139,-77.352948
39771,37.561646,-77.465974
39772,37.345779,-79.962578
39773,39.010459,-77.438399
39774,38.927033,-77.240836
39775,39.156514,-78.147297
39776,47.338754,-122.221114
39778,48.755607,-122.454132
39779,47.562162,-122.684286
39780,47.458466,-122.333257
39782,47.778229,-122.344838
39786,47.031067,-122.930247
39787,46.236607,-119.128998
39788,48.102863,-123.342273
39789,47.207367,-122.294997
39791,47.448354,-122.2188
39795,47.739021,-117.409937
39796,47.657264,-117.312518
39797,47.21978,-122.48576
39798,45.648094,-122.597954
39799,46.047464,-118.353406
39802,35.030251,-85.308376
39803,36.513006,-87.268667
39805,36.137109,-85.496453
39806,36.023934,-87.340223
39807,36.063277,-89.379485
39808,35.957857,-86.80853
39809,36.361376,-86.494932
39811,36.374198,-82.372119
39812,36.551978,-82.487762
39813,35.920587,-84.067881
39814,35.999617,-83.969451
39815,36.29062,-86.7051
39816,35.454702,-86.041805
39817,36.369277,-88.849653
39818,35.0353,-89.795859
39819,35.181031,-89.895533
39820,36.18226,-83.382387
39821,35.854156,-86.394979
39822,36.110606,-86.743585
39823,36.191053,-86.793132
39827,45.491783,-122.81107
39828,44.055213,-121.277279
39830,44.572608,-123.258425
39831,44.05902085037804,-123.0813974632293
39832,45.378967,-122.603899
39836,45.227394,-123.180863
39837,42.379969,-122.858192
39838,45.531759,-122.537403
39839,44.921582,-123.006236
39840,45.613979,-121.20996
39841,45.326814,-122.770853
39842,34.055164,-81.128164
39844,33.997902,-81.222504
39845,35.830725,-83.974822
39846,35.205818,-89.791337
39847,36.54282,-82.2354
39848,35.056433,-85.190515
39849,33.394903,-86.807186
39850,30.660697,-87.858464
39851,34.563857,-86.972193
39852,32.376832,-86.208559
